
[Name]
fluid

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ], Velocity u [ m s^-1 ], Velocity u_Scalar [ m s^-1 ], Velocity v [ m s^-1 ], Velocity v_Scalar [ m s^-1 ], Velocity w [ m s^-1 ], X [ m ], Y [ m ], Z [ m ]
3.93700004e-01, 2.61120405e-03, 5.00000024e-04, 6.21133298e-03, 4.54036845e-03, 4.44166828e-03, 5.92096603e-06, 5.77947412e-06, 0.00000000e+00, 3.93700004e-01, 2.61120405e-03, 5.00000024e-04
3.91160011e-01, 2.61116656e-03, 5.00000024e-04, 6.35858206e-03, 4.54959180e-03, 4.45066951e-03, 6.00148269e-06, 5.85695398e-06, 0.00000000e+00, 3.91160011e-01, 2.61116656e-03, 5.00000024e-04
3.88619989e-01, 2.61112931e-03, 5.00000024e-04, 6.50627632e-03, 4.55890317e-03, 4.45976155e-03, 6.08397340e-06, 5.93631739e-06, 0.00000000e+00, 3.88619989e-01, 2.61112931e-03, 5.00000024e-04
3.86079997e-01, 2.61109183e-03, 5.00000024e-04, 6.65441249e-03, 4.56830394e-03, 4.46894905e-03, 6.16821308e-06, 6.01735610e-06, 0.00000000e+00, 3.86079997e-01, 2.61109183e-03, 5.00000024e-04
3.83540004e-01, 2.61105457e-03, 5.00000024e-04, 6.80299709e-03, 4.57779551e-03, 4.47822222e-03, 6.25405210e-06, 6.09991139e-06, 0.00000000e+00, 3.83540004e-01, 2.61105457e-03, 5.00000024e-04
3.81000012e-01, 2.61101709e-03, 5.00000024e-04, 6.95202965e-03, 4.58738022e-03, 4.48757736e-03, 6.34147818e-06, 6.18396143e-06, 0.00000000e+00, 3.81000012e-01, 2.61101709e-03, 5.00000024e-04
3.78459990e-01, 2.61097983e-03, 5.00000024e-04, 7.10151438e-03, 4.59705992e-03, 4.49703541e-03, 6.43059821e-06, 6.26963856e-06, 0.00000000e+00, 3.78459990e-01, 2.61097983e-03, 5.00000024e-04
3.75919998e-01, 2.61094235e-03, 5.00000024e-04, 7.25145079e-03, 4.60683648e-03, 4.50658612e-03, 6.52157451e-06, 6.35707647e-06, 0.00000000e+00, 3.75919998e-01, 2.61094235e-03, 5.00000024e-04
3.73380005e-01, 2.61090510e-03, 5.00000024e-04, 7.40184542e-03, 4.61671222e-03, 4.51622903e-03, 6.61456215e-06, 6.44641977e-06, 0.00000000e+00, 3.73380005e-01, 2.61090510e-03, 5.00000024e-04
3.70840013e-01, 2.61086761e-03, 5.00000024e-04, 7.55269593e-03, 4.62668948e-03, 4.52597486e-03, 6.70968166e-06, 6.53779398e-06, 0.00000000e+00, 3.70840013e-01, 2.61086761e-03, 5.00000024e-04
3.68299991e-01, 2.61083036e-03, 5.00000024e-04, 7.70401116e-03, 4.63677105e-03, 4.53582546e-03, 6.80699623e-06, 6.63126320e-06, 0.00000000e+00, 3.68299991e-01, 2.61083036e-03, 5.00000024e-04
3.65759999e-01, 2.61079287e-03, 5.00000024e-04, 7.85579160e-03, 4.64695878e-03, 4.54577431e-03, 6.90653178e-06, 6.72683473e-06, 0.00000000e+00, 3.65759999e-01, 2.61079287e-03, 5.00000024e-04
3.63220006e-01, 2.61075562e-03, 5.00000024e-04, 8.00803863e-03, 4.65725502e-03, 4.55583027e-03, 7.00830151e-06, 6.82453219e-06, 0.00000000e+00, 3.63220006e-01, 2.61075562e-03, 5.00000024e-04
3.60680014e-01, 2.61071813e-03, 5.00000024e-04, 8.16075969e-03, 4.66766302e-03, 4.56599751e-03, 7.11231496e-06, 6.92437197e-06, 0.00000000e+00, 3.60680014e-01, 2.61071813e-03, 5.00000024e-04
3.58139992e-01, 2.61068088e-03, 5.00000024e-04, 8.31395760e-03, 4.67818370e-03, 4.57627187e-03, 7.21856895e-06, 7.02634225e-06, 0.00000000e+00, 3.58139992e-01, 2.61068088e-03, 5.00000024e-04
3.55599999e-01, 2.61064339e-03, 5.00000024e-04, 8.46763514e-03, 4.68882173e-03, 4.58666589e-03, 7.32703938e-06, 7.13043437e-06, 0.00000000e+00, 3.55599999e-01, 2.61064339e-03, 5.00000024e-04
3.53060007e-01, 2.61060614e-03, 5.00000024e-04, 8.62179790e-03, 4.69957851e-03, 4.59717354e-03, 7.43775399e-06, 7.23665289e-06, 0.00000000e+00, 3.53060007e-01, 2.61060614e-03, 5.00000024e-04
3.50519985e-01, 2.61056866e-03, 5.00000024e-04, 8.77645612e-03, 4.71045636e-03, 4.60779853e-03, 7.55090514e-06, 7.34517380e-06, 0.00000000e+00, 3.50519985e-01, 2.61056866e-03, 5.00000024e-04
3.47979993e-01, 2.61053140e-03, 5.00000024e-04, 8.93161073e-03, 4.72145900e-03, 4.61854599e-03, 7.66663470e-06, 7.45614716e-06, 0.00000000e+00, 3.47979993e-01, 2.61053140e-03, 5.00000024e-04
3.45440000e-01, 2.61049392e-03, 5.00000024e-04, 9.08727106e-03, 4.73258831e-03, 4.62942151e-03, 7.78467620e-06, 7.56932832e-06, 0.00000000e+00, 3.45440000e-01, 2.61049392e-03, 5.00000024e-04
3.42900008e-01, 2.61045666e-03, 5.00000024e-04, 9.24344081e-03, 4.74384660e-03, 4.64042090e-03, 7.90456306e-06, 7.68425252e-06, 0.00000000e+00, 3.42900008e-01, 2.61045666e-03, 5.00000024e-04
3.40359986e-01, 2.61041918e-03, 5.00000024e-04, 9.40013025e-03, 4.75523621e-03, 4.65154368e-03, 8.02615341e-06, 7.80076243e-06, 0.00000000e+00, 3.40359986e-01, 2.61041918e-03, 5.00000024e-04
3.37819993e-01, 2.61038193e-03, 5.00000024e-04, 9.55734588e-03, 4.76675946e-03, 4.66280198e-03, 8.14971736e-06, 7.91911862e-06, 0.00000000e+00, 3.37819993e-01, 2.61038193e-03, 5.00000024e-04
3.35280001e-01, 2.61034444e-03, 5.00000024e-04, 9.71509796e-03, 4.77841822e-03, 4.67419112e-03, 8.27549502e-06, 8.03952753e-06, 0.00000000e+00, 3.35280001e-01, 2.61034444e-03, 5.00000024e-04
3.32740009e-01, 2.61030719e-03, 5.00000024e-04, 9.87339392e-03, 4.79021482e-03, 4.68571624e-03, 8.40348912e-06, 8.16199827e-06, 0.00000000e+00, 3.32740009e-01, 2.61030719e-03, 5.00000024e-04
3.30199987e-01, 2.61026970e-03, 5.00000024e-04, 1.00322412e-02, 4.80215019e-03, 4.69737872e-03, 8.53357415e-06, 8.28640896e-06, 0.00000000e+00, 3.30199987e-01, 2.61026970e-03, 5.00000024e-04
3.27659994e-01, 2.61023245e-03, 5.00000024e-04, 1.01916473e-02, 4.81422711e-03, 4.70917718e-03, 8.66561550e-06, 8.41261681e-06, 0.00000000e+00, 3.27659994e-01, 2.61023245e-03, 5.00000024e-04
3.25120002e-01, 2.61019496e-03, 5.00000024e-04, 1.03516215e-02, 4.82644653e-03, 4.72111674e-03, 8.79962317e-06, 8.54064729e-06, 0.00000000e+00, 3.25120002e-01, 2.61019496e-03, 5.00000024e-04
3.22580010e-01, 2.61015771e-03, 5.00000024e-04, 1.05121704e-02, 4.83881030e-03, 4.73319646e-03, 8.93567176e-06, 8.67056224e-06, 0.00000000e+00, 3.22580010e-01, 2.61015771e-03, 5.00000024e-04
3.20039988e-01, 2.61012022e-03, 5.00000024e-04, 1.06733013e-02, 4.85132169e-03, 4.74541914e-03, 9.07387766e-06, 8.80247626e-06, 0.00000000e+00, 3.20039988e-01, 2.61012022e-03, 5.00000024e-04
3.17499995e-01, 2.61008297e-03, 5.00000024e-04, 1.08350208e-02, 4.86398116e-03, 4.75778803e-03, 9.21445280e-06, 8.93659126e-06, 0.00000000e+00, 3.17499995e-01, 2.61008297e-03, 5.00000024e-04
3.14960003e-01, 2.61004549e-03, 5.00000024e-04, 1.09973345e-02, 4.87679336e-03, 4.77030315e-03, 9.35766275e-06, 9.07315462e-06, 0.00000000e+00, 3.14960003e-01, 2.61004549e-03, 5.00000024e-04
3.12420011e-01, 2.61000823e-03, 5.00000024e-04, 1.11602489e-02, 4.88975924e-03, 4.78297519e-03, 9.50379490e-06, 9.21245646e-06, 0.00000000e+00, 3.12420011e-01, 2.61000823e-03, 5.00000024e-04
3.09879988e-01, 2.60997075e-03, 5.00000024e-04, 1.13237696e-02, 4.90288250e-03, 4.79579531e-03, 9.65313848e-06, 9.35474054e-06, 0.00000000e+00, 3.09879988e-01, 2.60997075e-03, 5.00000024e-04
3.07339996e-01, 2.60993349e-03, 5.00000024e-04, 1.14879040e-02, 4.91616596e-03, 4.80877329e-03, 9.80597088e-06, 9.50028334e-06, 0.00000000e+00, 3.07339996e-01, 2.60993349e-03, 5.00000024e-04
3.04800004e-01, 2.60989601e-03, 5.00000024e-04, 1.16526587e-02, 4.92961332e-03, 4.82191611e-03, 9.96255767e-06, 9.64934588e-06, 0.00000000e+00, 3.04800004e-01, 2.60989601e-03, 5.00000024e-04
3.02260011e-01, 2.60985876e-03, 5.00000024e-04, 1.18180346e-02, 4.94322693e-03, 4.83521633e-03, 1.01231599e-05, 9.80214372e-06, 0.00000000e+00, 3.02260011e-01, 2.60985876e-03, 5.00000024e-04
2.99719989e-01, 2.60982127e-03, 5.00000024e-04, 1.19840465e-02, 4.95701190e-03, 4.84868465e-03, 1.02880413e-05, 9.95893970e-06, 0.00000000e+00, 2.99719989e-01, 2.60982127e-03, 5.00000024e-04
2.97179997e-01, 2.60978402e-03, 5.00000024e-04, 1.21506918e-02, 4.97097010e-03, 4.86232201e-03, 1.04574729e-05, 1.01199867e-05, 0.00000000e+00, 2.97179997e-01, 2.60978402e-03, 5.00000024e-04
2.94640005e-01, 2.60974653e-03, 5.00000024e-04, 1.23179834e-02, 4.98510664e-03, 4.87613399e-03, 1.06317357e-05, 1.02855447e-05, 0.00000000e+00, 2.94640005e-01, 2.60974653e-03, 5.00000024e-04
2.92100012e-01, 2.60970928e-03, 5.00000024e-04, 1.24859270e-02, 4.99942433e-03, 4.89012571e-03, 1.08111153e-05, 1.04558903e-05, 0.00000000e+00, 2.92100012e-01, 2.60970928e-03, 5.00000024e-04
2.89559990e-01, 2.60967179e-03, 5.00000024e-04, 1.26545271e-02, 5.01392828e-03, 4.90429532e-03, 1.09958983e-05, 1.06312746e-05, 0.00000000e+00, 2.89559990e-01, 2.60967179e-03, 5.00000024e-04
2.87019998e-01, 2.60963454e-03, 5.00000024e-04, 1.28237922e-02, 5.02862222e-03, 4.91865352e-03, 1.11863719e-05, 1.08119884e-05, 0.00000000e+00, 2.87019998e-01, 2.60963454e-03, 5.00000024e-04
2.84480006e-01, 2.60959705e-03, 5.00000024e-04, 1.29937297e-02, 5.04350988e-03, 4.93320543e-03, 1.13828155e-05, 1.09983039e-05, 0.00000000e+00, 2.84480006e-01, 2.60959705e-03, 5.00000024e-04
2.81940013e-01, 2.60955980e-03, 5.00000024e-04, 1.31643489e-02, 5.05859638e-03, 4.94794548e-03, 1.15854882e-05, 1.11904355e-05, 0.00000000e+00, 2.81940013e-01, 2.60955980e-03, 5.00000024e-04
2.79399991e-01, 2.60952231e-03, 5.00000024e-04, 1.33356554e-02, 5.07388590e-03, 4.96288296e-03, 1.17946238e-05, 1.13886308e-05, 0.00000000e+00, 2.79399991e-01, 2.60952231e-03, 5.00000024e-04
2.76859999e-01, 2.60948506e-03, 5.00000024e-04, 1.35076558e-02, 5.08938357e-03, 4.97802859e-03, 1.20104050e-05, 1.15930925e-05, 0.00000000e+00, 2.76859999e-01, 2.60948506e-03, 5.00000024e-04
2.74320006e-01, 2.60944758e-03, 5.00000024e-04, 1.36803603e-02, 5.10509405e-03, 4.99338191e-03, 1.22329566e-05, 1.18039343e-05, 0.00000000e+00, 2.74320006e-01, 2.60944758e-03, 5.00000024e-04
2.71780014e-01, 2.60941032e-03, 5.00000024e-04, 1.38537800e-02, 5.12102293e-03, 5.00894431e-03, 1.24623211e-05, 1.20212007e-05, 0.00000000e+00, 2.71780014e-01, 2.60941032e-03, 5.00000024e-04
2.69239992e-01, 2.60937284e-03, 5.00000024e-04, 1.40279187e-02, 5.13717579e-03, 5.02472790e-03, 1.26984505e-05, 1.22448955e-05, 0.00000000e+00, 2.69239992e-01, 2.60937284e-03, 5.00000024e-04
2.66700000e-01, 2.60933558e-03, 5.00000024e-04, 1.42027885e-02, 5.15355775e-03, 5.04073827e-03, 1.29411856e-05, 1.24748931e-05, 0.00000000e+00, 2.66700000e-01, 2.60933558e-03, 5.00000024e-04
2.64160007e-01, 2.60929810e-03, 5.00000024e-04, 1.43784005e-02, 5.17017534e-03, 5.05697774e-03, 1.31902398e-05, 1.27109315e-05, 0.00000000e+00, 2.64160007e-01, 2.60929810e-03, 5.00000024e-04
